1	 Trailer late ah parthavanga like podunga
1	 Move pathutu vanthu trailer pakurvnga yaru
1	 Puthupetai dhanush  ah yarellam pathinga
1	 Dhanush oda character ,puthu sa erukay , mass ta
1	 vera level ippa pesungada mokka nu thalaivaaaaaa
1	 Thala mass . U1 bgm.     Vera level
2	 ivara pathta death vadi madiri irukku
1	 0:28 90's kids reference  Maadila irunthu kudicha Shakthiman kaapathvaaru
1	 Aiyoo thala mass pannita thala
4	 ENPT ku kaathu kadanthathellam oru nimishathula poiruchu
2	 When Pandey gets up  Vandumurugan : IM SPEAKING.. NO CROSS SPEAKING... SITTT DOWNNN
2	 Remake of Malayalam Mohanlal movie Devadoodhan
1	 Tharamaana sirappaana sambavam inimeal ta paaka pora....
3	 Viswasam trailer paathutu Inka vanthavanga like panuga
1	 Maran  kattu kattitamnue verithanam thalivaaàa
1	 Ella trailer la last la oru Mass dialouge vaichikuringaaa paaaa
1	 Eppa Saamy thala padathula Vera director pera...pakurathu evalo periya santhosama iruku.....
4	 En thalaivan vijaysethubathi kaga matume na padam papan matha entha p..... illa
1	 Kanithan + mugamoodi Neenga nambalainalum ithan nesam
1	 Enakku iru mugan trailer gnabagam than varuthu
1	 ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE
4	 Sakthimaan fans like Sivakarthikeyen fans comment
4	 rajini and akshay fans hit like
1	 1 hour 1 million likes
1	 Raww vana padama iruku  all the best
3	 Thalaiva.. full Support from kerala Mohanlal Fans
2	 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae
1	 Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa
2	 Rajini ah vida akshay mass ah irukane
1	 Thala koda compare panna yarukum thakuthi kidaiyathu mind it
1	 Marana mass marana style marna gethu mass trailer rajinified
3	 Paruthiveeran Karthi Back  Lokesh Kangaraj Screenplay
4	 Diwali annante aniyan ullaltha  Step back bigil
2	 Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.
2	 Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii
2	 dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢
2	 Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....
1	 Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines
1	 Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...
1	 Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...
4	 epdi like pottavan Eallarum seathupogada
1	 சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.
1	 Supper dhanush Anna mass waiting asuran
1	 Vera lvl thalaiva u r great
2	 Mobile main mera phek dunga iPhone x BARNA aisa problem hoga
0	 Sala kuch smjh nhi aaya pr mja aaya
4	 Ellam avan sayal movie mathiriya irukku🤔
1	 Boss you looking so handsome ND young kekaa
4	 Pattaya kelapitey Siva!!!  Awesome!!!
4	 Dahaaaaaaa chitii come back I am waiting get ready to 2.0
4	 Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala
1	 Looks thrilling, thala get up super as lawyer , dai pandey neeya da
2	 Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga
1	 Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR
1	 1:43  Thala da    By thalapathy fan
1	 Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga
3	 Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga
1	 Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super
4	 Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....
1	 But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam
1	 Semmma style... rajini sir is back...
1	 My Dear Thala ahhhhhhhhhhhhhh semma GETHU
4	 Idduke ₹500 va tarlam... kolla mass
1	 Movie savadi vera level poo..thalaivar thalaivar thaa..mass
1	 Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.
4	 92k views 132k likes  Fraud
1	 3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????
1	 Dai ranjit nee idha parthu film eduka kathuko
1	 Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura
1	 Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum
1	 Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....
1	 1:36 *thaa enna look-u daa saami  That bgm lit
1	 Guyzz 1m likes vara varaikum vitraadheenga...
3	 Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya
1	 Velraj sir thalaivana masss a kamchirukaru vera level u
4	 U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum
1	 Iam vijay fan kerala and iam waiting super star's petta
4	 Oh my god .. it's rajini for you
1	 0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu
1	 Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!
4	 Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's
1	 Iam sk fan aanaa trailer semma
1	 Wow padam tharu mara iruka poguthu  This pongal petta diwali
1	 Sema mass marana mass tha i love rajini
1	 800k likes varavareku nanu thungamatte nenaikiravage like podunge
1	 Damn..im a proud. Chiyaan vikram fan..
1	 Enna panna porom sweet sapda porom....
2	 entha kannada naiyai ennum tamilnattil erunthu anupalaiya?
1	 Vaa thalaiva via diwali mass ur movie bikil  out
1	 Veralevel performer Dhanush sir
1	 No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala
1	 Super akshay sir i love u sir
1	 Looks like he will SET SCREEN ON FIRE
3	 Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla
1	 It's pink with ajith Kumar ka chutiyapa
1	 Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.
1	 Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum
1	 Trailer vera level athana Da....aamai kunjugala
4	 Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.
1	 Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram
1	 1:20 to 2:29 marana massssss
3	 Thalapathy 64 villan ku Oru like podu
1	 No.1 trending....yellarum idha thana ketutu irundhinga
1	 Dhanush fans hit like here.....
2	 E,,adicha copy da,,,ithu ellam avan seyal movie
1	 Like so much Thala from AP PawanKalyan Anna fans
4	 Yellaam super, but nawazudin voice mattum nalla illa.
1	 Wow. I love you Thalaivaaaaaa.
1	 Thala..... Kola waiting eppo yaa release panna poringa
1	 Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...
4	 Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?
1	 Comment box pakka vantha like podunga
